OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
3195,67182,MOYRUS,Maíros,GALWAY,Gaillimh,Connacht,483899.0438,744586.1822,2AE1962922DD13A3E055000000000001,27034,67182,Maíros,88139742.56,65854.76618
3212,68009,LOUGH ATALIA, ,GALWAY,Gaillimh,Connacht,531048.9787,725438.1447,2AE19629236F13A3E055000000000001,26009,68009,Lough Atalia,1221514.693,5309.357658
3234,67102,GORUMNA,Garmna,GALWAY,Gaillimh,Connacht,487182.6087,723504.5235,2AE19629234613A3E055000000000001,27154,67102,Garmna,29630879.38,51619.62728
3248,67158,LACKALEA, ,GALWAY,Gaillimh,Connacht,560962.9842,720491.1888,2AE19629235713A3E055000000000001,27124,67158,Lackalea,12427768.34,21182.94692
3251,67180,MOYNE, ,GALWAY,Gaillimh,Connacht,554635.6782,745876.0362,2AE1962922D213A3E055000000000001,27212,67180,Moyne,20384090.34,26593.27902
3284,67073,CREGGS, ,GALWAY,Gaillimh,Connacht,572520.6967,759679.1268,2AE1962922F013A3E055000000000001,27070,67073,Creggs,33861720.95,29843.09046
3285,67211,TUAM RURAL, ,GALWAY,Gaillimh,Connacht,543772.4811,751811.5545,2AE19629233E13A3E055000000000001,27215,67211,Tuam Rural,35026637.55,42756.86702
3287,67209,TOBERADOSH, ,GALWAY,Gaillimh,Connacht,554553.7689,765981.5946,2AE19629233413A3E055000000000001,27214,67209,Toberadosh,19922581.13,27050.19265
3299,67149,KILTESKILL, ,GALWAY,Gaillimh,Connacht,565028.415,711066.8554,2AE19629233B13A3E055000000000001,27122,67149,Kilteskill,20453653.33,21572.47171
3314,67021,BALLINTEMPLE,Baile an Teampaill,GALWAY,Gaillimh,Connacht,535442.5067,728412.3596,2AE19629206913A3E055000000000001,27042,67021,Baile an Teampaill (Part Rural),15044724.44,24782.67569
3317,67205,TAGHBOY, ,GALWAY,Gaillimh,Connacht,580711.1883,744910.6386,2AE19629232713A3E055000000000001,27148,67205,Taghboy,25784688.91,27478.29375
3372,68018,SALTHILL, ,GALWAY,Gaillimh,Connacht,528341.8383,724344.7079,2AE19629238213A3E055000000000001,26019,68018,Salthill,849268.639,4104.16711
3375,67189,RAFORD, ,GALWAY,Gaillimh,Connacht,561470.7947,724309.0165,2AE1962922ED13A3E055000000000001,27132,67189,Raford,15554163.91,20803.82412
3382,67098,GALWAY RURAL, ,GALWAY,Gaillimh,Connacht,527513.9906,730253.8393,2AE19629233913A3E055000000000001,27052,67098,Galway Rural (Part Rural),10289360.07,17790.70961
3384,68021,TAYLORS HILL, ,GALWAY,Gaillimh,Connacht,528195.7197,725048.6845,2AE19629238513A3E055000000000001,26021,68021,Taylors Hill,758863.5054,4300.203876
